Mass of Precursor A (g),Solution Volume (ml),Reaction Temperature (°C),Reaction Time(h),Ramp Rate (°C/min),pH Value,Photoluminescence Quantum Yield
2,50,195,4,15,7,52.8
2,55,200,3,15,7,52.4
2.6,50,200,5,15,7,52.3
1.7,50,200,4,15,7,52.1
2,50,195,5,15,7,52.1
1,50,200,5,15,7,51.3
2,40,180,2,10,7,51.3
1.6,50,180,5,15,7,51.2
2,40,200,5,15,7,51.1
2,50,200,2,5,8,51.1
1.4,50,180,5,15,7,50.4
1.5,50,200,5,15,7,50.2
2.8,50,200,5,15,7,50.1
2,45,200,3,15,7,50.1
2,50,180,3,15,7,49.9
2,50,190,5,15,7,49.9
1.2,50,180,5,15,7,49.7
1.9,50,200,5,15,7,49.6
2,55,200,5,15,7,49.6
8,50,200,5,15,7,49.4
2,40,200,1,10,7,49.2
2,60,200,5,15,7,49.1
2,50,200,2,5,7,48.9
1,50,220,2,15,7,48.8
1,50,180,5,15,7,48.8
2,30,190,5,10,7,48.8
3,60,200,5,15,7,48.6
3,50,200,5,15,7,48.5
5,30,200,1,5,7,48.5
4,60,200,5,15,7,48.5
6,50,200,5,15,7,48.2
0.9,50,200,4,15,7,48.2
4,50,200,5,15,7,48.1
2,60,200,4,15,7,48.1
0.8,50,180,5,15,7,47.9
5,50,200,5,15,7,47.8
2.3,50,190,4,15,7,47.7
1.8,50,200,5,15,7,47.7
1.9,50,200,2,15,7,47.7
2,45,200,1,15,7,47.7
3,60,190,5,15,7,47.7
2,50,185,5,15,7,47.6
1,50,195,5,15,7,47.5
2,50,200,1,15,7,47
2,50,200,5,15,8,46.9
2,50,200,3,15,7,46.7
2,50,180,2,5,7,46.7
5,50,190,5,15,7,46.6
2,40,200,3,15,7,46.6
3.8,50,200,5,15,7,46.5
1.9,50,190,2,15,7,46.5
1.7,50,200,5,15,7,46.3
1.8,50,200,2,15,7,46.3
2,55,180,3,15,7,46.2
4,30,200,1,5,7,46.2
2,55,180,3,10,7,45.8
3.6,50,200,5,15,7,45.6
1.6,50,200,5,15,7,45.5
0.6,50,180,5,15,7,45.3
1.7,50,200,2,15,7,45.1
2,60,200,3,15,7,45.1
4,50,190,4,15,7,44.8
3.4,50,200,5,15,7,44.7
2,50,175,2,15,7,44.7
1.6,50,200,2,15,7,44.7
1,50,190,4,15,7,44.6
8,40,200,5,15,8,44.5
8.4,50,180,5,15,7,44.4
1.1,50,200,4,15,7,44.4
1,50,240,3,15,7,44.3
1.5,50,195,5,15,7,44.3
1.8,50,190,2,15,7,44.3
1,50,200,6,15,7,44.2
10,50,200,5,15,7,44.1
2,35,200,5,15,7,44.1
1.7,50,190,2,15,7,43.8
4,50,180,4,15,7,43.7
2,60,180,3,10,7,43.5
3.2,50,200,5,15,7,43.2
1.2,50,200,3,15,7,43.2
2,40,200,1,15,7,43.1
0.9,50,200,2,15,7,42.9
2,30,190,3,5,7,42.7
1,50,200,2,15,7,42.6
1,50,200,1,15,7,42.6
2.4,50,180,3,15,7,42.5
1.6,50,190,2,15,7,42.4
1,50,185,6,15,7,42.2
1.3,50,200,2,15,7,42.1
2,35,200,3,15,7,41.6
1,30,200,2,2,8,41.4
2,50,180,5,15,7,41.2
1,50,195,1,15,7,41.2
12,50,200,5,15,7,41.1
8.2,50,200,6,15,7,41.1
1.4,50,195,5.5,15,7,41.1
2,40,160,1,10,7,41.1
0.5,50,200,5,15,7,40.7
2,50,200,4,15,7,40.6
2,60,180,3,2,7,40.6
1.9,50,180,2,15,7,40.4
0.5,50,200,3,15,7,40.3
8.6,50,160,3,15,7,40.3
1.4,50,200,1,15,7,40.3
2,60,180,3,5,7,40.2
2,35,200,1,15,7,39.9
2,30,200,5,15,7,39.8
2.5,50,170,2,15,7,39.6
1,50,185,3,15,7,39.6
1,30,200,1,5,8,39.2
1.1,50,190,4,15,7,39.1
0.4,50,180,4,15,7,39
0.5,50,220,1,15,7,38.9
1.1,50,260,5,15,7,38.9
0.4,50,180,5,15,7,38.8
1.8,50,200,0.9,15,7,38.8
1.8,50,180,2,15,7,38.5
2,45,200,1,2,8,38.4
1,50,200,4,15,7,37.9
1.7,50,180,2,15,7,37.7
1.2,50,185,3,15,7,37.7
2,30,190,1,5,7,37.7
2,30,200,3,15,7,37.6
0.3,50,170,3,15,7,37.5
3,30,200,1,5,7,37.5
6,30,200,1,5,7,37.4
1,50,180,2,15,7,37.3
2,50,170,1,15,7,37.3
2,45,200,1,2,7,37.2
1.9,50,200,0.8,15,7,37.2
6,50,200,6,15,7,37.1
0.5,50,190,5,15,7,36.7
0.5,50,195,2,15,7,36.6
8,40,200,1,10,7,36.5
2,25,200,5,15,7,36.5
1,30,180,1,10,7,36.3
2,50,200,2,5,9,36.3
0.2,50,200,5,15,7,36
2,50,220,5,15,7,35.7
2,50,200,0.7,15,7,35.5
1.3,50,180,2,15,7,35.5
3,50,180,3,15,7,35.5
2,30,200,1,15,7,35.3
6,50,210,6,15,7,35.2
