Add NaCl,Distance of S outside Furnace (in cm),Flat/Tilted_Face Down (Tilted),Flow rate (sccm),Reaction Temperature (°C),Ramp time (min),Reaction time (min)
0,1.2,0,40,700,13,10
0,1.2,0,40,700,13,11
0,1.2,0,40,700,13,12
0,1.2,0,40,700,13,13
0,1.2,0,40,700,13,14
0,1.2,0,40,700,13,15
0,1.2,0,40,700,13,16
0,1.2,0,40,700,13,17
0,1.2,0,40,700,13,18
0,1.2,0,40,700,14,10
0,1.2,0,40,700,14,11
0,1.2,0,40,700,14,12
0,1.2,0,40,700,14,13
0,1.2,0,40,700,14,14
0,1.2,0,40,700,14,15
0,1.2,0,40,700,14,16
0,1.2,0,40,700,14,17
0,1.2,0,40,700,14,18
0,1.2,0,40,700,15,10
0,1.2,0,40,700,15,11
0,1.2,0,40,700,15,12
0,1.2,0,40,700,15,13
0,1.2,0,40,700,15,14
0,1.2,0,40,700,15,15
0,1.2,0,40,700,15,16
0,1.2,0,40,700,15,17
0,1.2,0,40,700,15,18
0,1.2,0,40,700,16,10
0,1.2,0,40,700,16,11
0,1.2,0,40,700,16,12
0,1.2,0,40,700,16,13
0,1.2,0,40,700,16,14
0,1.2,0,40,700,16,15
0,1.2,0,40,700,16,16
0,1.2,0,40,700,16,17
0,1.2,0,40,700,16,18
0,1.2,0,40,700,17,10
0,1.2,0,40,700,17,11
0,1.2,0,40,700,17,12
0,1.2,0,40,700,17,13
0,1.2,0,40,700,17,14
0,1.2,0,40,700,17,15
0,1.2,0,40,700,17,16
0,1.2,0,40,700,17,17
0,1.2,0,40,700,17,18
0,1.2,0,40,700,18,10
0,1.2,0,40,700,18,11
0,1.2,0,40,700,18,12
0,1.2,0,40,700,18,13
0,1.2,0,40,700,18,14
0,1.2,0,40,700,18,15
0,1.2,0,40,700,18,16
0,1.2,0,40,700,18,17
0,1.2,0,40,700,18,18
0,1.2,0,40,725,13,10
0,1.2,0,40,725,13,11
0,1.2,0,40,725,13,12
0,1.2,0,40,725,13,13
0,1.2,0,40,725,13,14
0,1.2,0,40,725,13,15
0,1.2,0,40,725,13,16
0,1.2,0,40,725,13,17
0,1.2,0,40,725,13,18
0,1.2,0,40,725,14,10
0,1.2,0,40,725,14,11
0,1.2,0,40,725,14,12
0,1.2,0,40,725,14,13
0,1.2,0,40,725,14,14
0,1.2,0,40,725,14,15
0,1.2,0,40,725,14,16
0,1.2,0,40,725,14,17
0,1.2,0,40,725,14,18
0,1.2,0,40,725,15,10
0,1.2,0,40,725,15,11
0,1.2,0,40,725,15,12
0,1.2,0,40,725,15,13
0,1.2,0,40,725,15,14
0,1.2,0,40,725,15,15
0,1.2,0,40,725,15,16
0,1.2,0,40,725,15,17
0,1.2,0,40,725,15,18
0,1.2,0,40,725,16,10
0,1.2,0,40,725,16,11
0,1.2,0,40,725,16,12
0,1.2,0,40,725,16,13
0,1.2,0,40,725,16,14
0,1.2,0,40,725,16,15
0,1.2,0,40,725,16,16
0,1.2,0,40,725,16,17
0,1.2,0,40,725,16,18
0,1.2,0,40,725,17,10
0,1.2,0,40,725,17,11
0,1.2,0,40,725,17,12
0,1.2,0,40,725,17,13
0,1.2,0,40,725,17,14
0,1.2,0,40,725,17,15
0,1.2,0,40,725,17,16
0,1.2,0,40,725,17,17
0,1.2,0,40,725,17,18
0,1.2,0,40,725,18,10
0,1.2,0,40,725,18,11
0,1.2,0,40,725,18,12
0,1.2,0,40,725,18,13
0,1.2,0,40,725,18,14
0,1.2,0,40,725,18,15
0,1.2,0,40,725,18,16
0,1.2,0,40,725,18,17
0,1.2,0,40,725,18,18
0,1.2,0,40,750,13,10
0,1.2,0,40,750,13,11
0,1.2,0,40,750,13,12
0,1.2,0,40,750,13,13
0,1.2,0,40,750,13,14
0,1.2,0,40,750,13,15
0,1.2,0,40,750,13,16
0,1.2,0,40,750,13,17
0,1.2,0,40,750,13,18
0,1.2,0,40,750,14,10
0,1.2,0,40,750,14,11
0,1.2,0,40,750,14,12
0,1.2,0,40,750,14,13
0,1.2,0,40,750,14,14
0,1.2,0,40,750,14,15
0,1.2,0,40,750,14,16
0,1.2,0,40,750,14,17
0,1.2,0,40,750,14,18
0,1.2,0,40,750,15,10
0,1.2,0,40,750,15,11
0,1.2,0,40,750,15,12
0,1.2,0,40,750,15,13
0,1.2,0,40,750,15,14
0,1.2,0,40,750,15,15
0,1.2,0,40,750,15,16
0,1.2,0,40,750,15,17
0,1.2,0,40,750,15,18
0,1.2,0,40,750,16,10
0,1.2,0,40,750,16,11
0,1.2,0,40,750,16,12
0,1.2,0,40,750,16,13
0,1.2,0,40,750,16,14
0,1.2,0,40,750,16,15
0,1.2,0,40,750,16,16
0,1.2,0,40,750,16,17
0,1.2,0,40,750,16,18
0,1.2,0,40,750,17,10
0,1.2,0,40,750,17,11
0,1.2,0,40,750,17,12
0,1.2,0,40,750,17,13
0,1.2,0,40,750,17,14
0,1.2,0,40,750,17,15
0,1.2,0,40,750,17,16
0,1.2,0,40,750,17,17
0,1.2,0,40,750,17,18
0,1.2,0,40,750,18,10
0,1.2,0,40,750,18,11
0,1.2,0,40,750,18,12
0,1.2,0,40,750,18,13
0,1.2,0,40,750,18,14
0,1.2,0,40,750,18,15
0,1.2,0,40,750,18,16
0,1.2,0,40,750,18,17
0,1.2,0,40,750,18,18
0,1.2,0,40,775,13,10
0,1.2,0,40,775,13,11
0,1.2,0,40,775,13,12
0,1.2,0,40,775,13,13
0,1.2,0,40,775,13,14
0,1.2,0,40,775,13,15
0,1.2,0,40,775,13,16
0,1.2,0,40,775,13,17
0,1.2,0,40,775,13,18
0,1.2,0,40,775,14,10
0,1.2,0,40,775,14,11
0,1.2,0,40,775,14,12
0,1.2,0,40,775,14,13
0,1.2,0,40,775,14,14
0,1.2,0,40,775,14,15
0,1.2,0,40,775,14,16
0,1.2,0,40,775,14,17
0,1.2,0,40,775,14,18
0,1.2,0,40,775,15,10
0,1.2,0,40,775,15,11
0,1.2,0,40,775,15,12
0,1.2,0,40,775,15,13
0,1.2,0,40,775,15,14
0,1.2,0,40,775,15,15
0,1.2,0,40,775,15,16
0,1.2,0,40,775,15,17
0,1.2,0,40,775,15,18
0,1.2,0,40,775,16,10
0,1.2,0,40,775,16,11
0,1.2,0,40,775,16,12
0,1.2,0,40,775,16,13
0,1.2,0,40,775,16,14
0,1.2,0,40,775,16,15
0,1.2,0,40,775,16,16
0,1.2,0,40,775,16,17
0,1.2,0,40,775,16,18
0,1.2,0,40,775,17,10
0,1.2,0,40,775,17,11
0,1.2,0,40,775,17,12
0,1.2,0,40,775,17,13
0,1.2,0,40,775,17,14
0,1.2,0,40,775,17,15
0,1.2,0,40,775,17,16
0,1.2,0,40,775,17,17
0,1.2,0,40,775,17,18
0,1.2,0,40,775,18,10
0,1.2,0,40,775,18,11
0,1.2,0,40,775,18,12
0,1.2,0,40,775,18,13
0,1.2,0,40,775,18,14
0,1.2,0,40,775,18,15
0,1.2,0,40,775,18,16
0,1.2,0,40,775,18,17
0,1.2,0,40,775,18,18
0,1.2,0,40,800,13,10
0,1.2,0,40,800,13,11
