Add NaCl,Distance of S outside Furnace (in cm),Flat/Tilted,Flow rate (sccm),Reaction Temperature (°C),Ramp time (min),Reaction time (min),Result
0,2.0 ,Face Down (Flat),50 ,500 ,13 ,10 ,0 
0,2.0 ,Face Down (Flat),100 ,500 ,12 ,15 ,0 
1,2.0 ,Face Down (Flat),150 ,500 ,11 ,10 ,0 
0,2.0 ,Face Down (Tilted),150 ,500 ,11 ,15 ,0 
1,2.0 ,Face Down (Tilted),200 ,500 ,10 ,5 ,0 
1,2.0 ,Face Down (Tilted),100 ,500 ,12 ,10 ,0 
1,2.0 ,Face Down (Flat),100 ,500 ,12 ,5 ,0 
0,2.0 ,Face Down (Tilted),150 ,500 ,11 ,5 ,0 
1,2.0 ,Face Down (Tilted),200 ,500 ,10 ,10 ,0 
1,2.0 ,Face Down (Tilted),200 ,500 ,10 ,15 ,0 
0,2.0 ,Face Down (Tilted),50 ,525 ,14 ,10 ,0 
0,2.0 ,Face Down (Tilted),100 ,525 ,13 ,5 ,0 
0,2.0 ,Face Down (Tilted),100 ,525 ,13 ,15 ,0 
1,2.0 ,Face Down (Tilted),150 ,525 ,12 ,5 ,0 
1,2.0 ,Face Down (Tilted),150 ,525 ,12 ,10 ,0 
0,2.0 ,Face Down (Tilted),200 ,525 ,11 ,10 ,0 
0,2.0 ,Face Down (Tilted),200 ,525 ,11 ,5 ,0 
1,2.0 ,Face Down (Tilted),100 ,525 ,13 ,10 ,1 
1,2.0 ,Face Down (Tilted),150 ,525 ,12 ,15 ,1 
1,2.0 ,Face Down (Tilted),200 ,525 ,11 ,15 ,1 
0,2.0 ,Face Down (Tilted),200 ,550 ,20 ,5 ,0 
0,2.0 ,Face Down (Flat),200 ,550 ,20 ,5 ,0 
1,2.0 ,Face Down (Tilted),200 ,550 ,20 ,5 ,0 
1,2.0 ,Face Down (Tilted),200 ,550 ,20 ,5 ,1 
1,2.0 ,Face Down (Tilted),200 ,550 ,20 ,5 ,1 
1,2.0 ,Face Down (Flat),200 ,550 ,20 ,5 ,1 
1,2.0 ,Face Down (Flat),200 ,550 ,20 ,5 ,1 
1,2.0 ,Face Down (Tilted),200 ,550 ,20 ,5 ,1 
1,2.0 ,Face Down (Flat),200 ,550 ,20 ,5 ,1 
1,2.0 ,Face Down (Tilted),200 ,550 ,20 ,5 ,1 
1,2.0 ,Face Down (Tilted),100 ,600 ,12 ,15 ,1 
0,2.0 ,Face Down (Tilted),50 ,625 ,15 ,15 ,1 
1,1.6 ,Face Down (Tilted),80 ,660 ,16 ,15 ,1 
0,1.0 ,Face Down (Flat),80 ,660 ,16 ,15 ,1 
0,2.5 ,Face Down (Flat),40 ,700 ,15 ,15 ,0 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,0 
1,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,0 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,0 
1,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,0 
1,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,0 
0,2.0 ,Face Down (Tilted),40 ,700 ,15 ,15 ,0 
1,2.0 ,Face Down (Tilted),40 ,700 ,15 ,15 ,0 
0,2.0 ,Face Down (Tilted),40 ,700 ,15 ,15 ,0 
1,2.0 ,Face Down (Flat),60 ,700 ,15 ,10 ,0 
1,2.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,2.5 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,2.5 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,2.5 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
1,1.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,1.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
1,1.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
1,2.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,3.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,3.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
1,3.0 ,Face Down (Flat),70 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),80 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),80 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),80 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),80 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),80 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),80 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),80 ,700 ,15 ,10 ,0 
1,2.0 ,Face Down (Flat),80 ,700 ,15 ,10 ,0 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,10 ,1 
1,2.0 ,Face Down (Flat),40 ,700 ,15 ,10 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,10 ,1 
1,2.0 ,Face Down (Flat),40 ,700 ,15 ,10 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,10 ,1 
0,1.5 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
0,1.8 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
0,1.8 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
1,2.2 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
0,2.2 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
1,2.5 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
0,2.2 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
0,2.5 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
1,2.8 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
1,2.8 ,Face Down (Flat),40 ,700 ,16 ,10 ,1 
0,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
1,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
1,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
1,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,1.5 ,Face Down (Tilted),40 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
1,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,1.5 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Flat),40 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Flat),50 ,700 ,15 ,10 ,1 
0,2.0 ,Face Down (Flat),50 ,700 ,15 ,10 ,1 
0,2.0 ,Face Down (Flat),60 ,700 ,15 ,10 ,1 
0,2.0 ,Face Down (Flat),60 ,700 ,15 ,10 ,1 
0,1.5 ,Face Down (Flat),60 ,700 ,15 ,10 ,1 
1,2.0 ,Face Down (Flat),60 ,700 ,15 ,10 ,1 
0,3.0 ,Face Down (Flat),60 ,700 ,16 ,10 ,1 
0,2.2 ,Face Down (Flat),60 ,700 ,16 ,10 ,1 
1,3.0 ,Face Down (Flat),60 ,700 ,16 ,10 ,1 
0,3.0 ,Face Down (Flat),60 ,700 ,16 ,10 ,1 
0,2.5 ,Face Down (Tilted),60 ,700 ,15 ,15 ,1 
0,1.5 ,Face Down (Flat),80 ,700 ,16 ,15 ,1 
0,2.0 ,Face Down (Flat),100 ,700 ,16 ,10 ,1 
1,2.5 ,Face Down (Flat),200 ,700 ,16 ,10 ,1 
0,2.5 ,Face Down (Flat),200 ,700 ,16 ,10 ,1 
0,2.0 ,Face Down (Flat),200 ,700 ,16 ,10 ,1 
1,1.8 ,Face Down (Flat),80 ,700 ,16 ,14 ,1 
0,1.8 ,Face Down (Flat),80 ,700 ,16 ,15 ,1 
1,1.2 ,Face Down (Flat),80 ,700 ,15 ,15 ,1 
1,1.5 ,Face Down (Flat),80 ,700 ,15 ,15 ,1 
1,2.5 ,Face Down (Flat),80 ,700 ,15 ,15 ,1 
0,2.5 ,Face Down (Flat),80 ,700 ,15 ,15 ,1 
0,1.8 ,Face Down (Flat),80 ,700 ,15 ,15 ,1 
0,2.0 ,Face Down (Tilted),150 ,700 ,14 ,5 ,1 
0,2.0 ,Face Down (Tilted),250 ,700 ,14 ,15 ,1 
